genres,id,imdb_id,original_title,overview,poster_path,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,backdrop_path,cast,crew,keywords
"[""Action"", ""Thriller"", ""Crime""]",1701,tt0118880,Con Air,"When the government puts all its rotten criminal eggs in one airborne basket, it's asking for trouble. Before you can say, ""Pass the barf bag,"" the crooks control the plane, led by creepy Cyrus ""The Virus"" Grissom. Watching his every move is the just-released Cameron Poe, who'd rather reunite with his family.",/kOKjgrEzGOP92rVQ6srA9jtp60l.jpg,6/1/1997,224012234,115,"[""English""]",They were deadly on the ground; Now they have wings,Con Air,6.5,1289,/4iUuOIYBBy12N21AAcEbHr5LQJr.jpg,"[""Nicolas Cage"", ""John Cusack"", ""John Malkovich"", ""Ving Rhames"", ""Nick Chinlund"", ""Steve Buscemi"", ""Colm Meaney"", ""Rachel Ticotin"", ""Dave Chappelle"", ""Mykelti Williamson"", ""Danny Trejo"", ""M.C. Gainey"", ""Steve Eastin"", ""Monica Potter"", ""Landry Allbright"", ""Renoly Santiago"", ""Brendan Kelly"", ""Jesse Borrego"", ""José Zúñiga"", ""Mongo Brownlee"", ""Don Charles McGovern"", ""Angela Featherstone"", ""Doug Hutchison"", ""Jeris Poindexter"", ""David Ramsey"", ""Conrad Goode"", ""Emilio Rivera"", ""Mario Roberts"", ""Ty Granderson Jones"", ""Bob Stephenson"", ""Dylan Haggerty"", ""Carl Ciarfalio"", ""Ned Bellamy"", ""John Roselius"", ""Fredric Lehne"", ""John Marshall Jones"", ""Tommy Bush"", ""Brian Willems"", ""Bill Cusack"", ""George Randall"", ""Jamie Bozian"", ""Harley Zumbrum"", ""Doug Dearth"", ""Kevin Gage""]","[""Simon West"", ""Jerry Bruckheimer"", ""Lynn Kouf"", ""Jim Kouf"", ""Jonathan Hensleigh"", ""Peter Bogart"", ""Chad Oman""]","[""prison"", ""ambush"", ""helicopter"", ""airport"", ""gas station"", ""undercover"", ""mexican standoff"", ""bravery"", ""hijacking"", ""escape"", ""shootout"", ""u.s. marshal"", ""las vegas"", ""explosion"", ""brutality"", ""violence"", ""convict"", ""desert"", ""war hero"", ""dea agent"", ""motorcycle chase""]"
"[""Action"", ""Adventure"", ""Thriller""]",1639,tt0120179,Speed 2: Cruise Control,Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.,/gnK1ocpwUTj24zAktzomOJsD2bu.jpg,6/13/1997,164508066,121,"[""English"", ""Português""]","As the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,4.1,439,/wmwEjQpqNXEIadsQoqWUS1pVVBi.jpg,"[""Sandra Bullock"", ""Jason Patric"", ""Willem Dafoe"", ""Temuera Morrison"", ""Mike Hagerty"", ""Colleen Camp"", ""Joe Morton"", ""Glenn Plummer"", ""Bo Svenson"", ""Kimmy Robertson"", ""Jessica Diz"", ""Tamia"", ""Brian McCardie"", ""Christine Firkins"", ""Michael O'Hagan"", ""Ben Meyerson""]","[""Jan de Bont"", ""Jan de Bont"", ""Steve Perry"", ""Mark Gordon"", ""Michael Peyser""]","[""boat"", ""cruise"", ""computer"", ""disaster"", ""diamond"", ""collision course""]"
"[""Animation"", ""Family"", ""Fantasy"", ""Adventure"", ""Comedy"", ""Romance""]",11970,tt0119282,Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",/dK9rNoC97tgX3xXg5zdxFisdfcp.jpg,6/26/1997,252712101,93,"[""English"", ""Español"", ""ελληνικά""]",Zero to Hero!,Hercules,7.3,1741,/26FT7NBKiGvWJBB3VG9i72LnI8S.jpg,"[""Tate Donovan"", ""Josh Keaton"", ""Roger Bart"", ""Danny DeVito"", ""James Woods"", ""Susan Egan"", ""Bobcat Goldthwait"", ""Matt Frewer"", ""Rip Torn"", ""Samantha Eggar"", ""Barbara Barrie"", ""Hal Holbrook"", ""Paul Shaffer"", ""Amanda Plummer"", ""Carole Shelley"", ""Paddi Edwards"", ""Charlton Heston"", ""LaChanze"", ""Jim Cummings"", ""Keith David"", ""Wayne Knight""]","[""Ron Clements"", ""Ron Clements"", ""John Musker"", ""John Musker"", ""Alice Dewey"", ""Noreen Tobin""]","[""hades"", ""musical"", ""peasant"", ""animation"", ""aftercreditsstinger"", ""olympus"", ""hercules""]"
"[""Comedy"", ""Romance""]",8874,tt0119738,My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",/b5g4bp8gS5ovMyR5439AII6zQ3n.jpg,6/19/1997,299288605,105,"[""English"", ""Français"", ""Italiano""]",It's about finding the love of your life. And deciding what to do about it.,My Best Friend's Wedding,6.4,606,/s5svcTbGcdTkA3cj7pCfy1rxy2O.jpg,"[""Julia Roberts"", ""Dermot Mulroney"", ""Cameron Diaz"", ""Rupert Everett"", ""Philip Bosco"", ""M. Emmet Walsh"", ""Rachel Griffiths"", ""Carrie Preston"", ""Susan Sullivan"", ""Christopher Masterson"", ""Raci Alexander"", ""Jennifer Garrett"", ""Kelleia Sheerin"", ""Bree Turner"", ""Cassie Creasy"", ""Lucina Paquet"", ""Aida Baggio"", ""Shirley Kelly"", ""George Bozonelos"", ""Loretta Paoletti"", ""Paul Giamatti"", ""Paul Adelstein"", ""Harry Shearer""]","[""P.J. Hogan"", ""Jerry Zucker"", ""Ronald Bass"", ""Patricia Whitcher"", ""Gil Netter""]","[""karaoke"", ""marriage proposal"", ""new love"", ""love of one's life"", ""kiss"", ""man-woman relation"", ""secret love"", ""wedding""]"
"[""Action"", ""Crime"", ""Science Fiction"", ""Thriller""]",754,tt0119094,Face/Off,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.",/rcSuBqYGKSGcptZGxYPT5jsN7zN.jpg,6/27/1997,245676146,138,"[""English"", ""Latin""]","In order to catch him, he must become him.",Face/Off,6.8,1612,/yeIpgoZWzbNqkeSYPwhNZQ5xCRX.jpg,"[""John Travolta"", ""Nicolas Cage"", ""Joan Allen"", ""Alessandro Nivola"", ""Gina Gershon"", ""Dominique Swain"", ""Nick Cassavetes"", ""Harve Presnell"", ""Colm Feore"", ""John Carroll Lynch"", ""CCH Pounder"", ""Robert Wisdom"", ""Margaret Cho"", ""James Denton"", ""Matt Ross"", ""Chris Bauer"", ""Myles Jeffrey"", ""David McCurley"", ""Thomas Jane"", ""Danny Masterson"", ""Lisa Boyle"", ""Linda Hoffman""]","[""Barrie M. Osborne"", ""Steven Reuther"", ""Michael Douglas"", ""John Woo"", ""Terence Chang"", ""David Permut"", ""Jonathan D. Krane"", ""Christopher Godsick""]","[""undercover"", ""mexican standoff"", ""biological weapon"", ""face transplant"", ""rage and hate"", ""fistfight"", ""hostility"", ""revenge"", ""deception"", ""tragedy"", ""shootout"", ""hospital"", ""boat chase"", ""los angeles"", ""explosion"", ""extreme violence"", ""fbi agent"", ""prison escape"", ""criminal gang"", ""flashback"", ""golden gun"", ""arch villain"", ""bullet ballet""]"
"[""Action"", ""Adventure"", ""Comedy"", ""Science Fiction""]",607,tt0119654,Men in Black,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg,7/2/1997,589390539,98,"[""English"", ""Español""]",Protecting the Earth from the scum of the universe.,Men in Black,6.9,4521,/lrAz6ayKlVBpClucdgXBmVUP6HG.jpg,"[""Tommy Lee Jones"", ""Will Smith"", ""Linda Fiorentino"", ""Vincent D'Onofrio"", ""Rip Torn"", ""Tony Shalhoub"", ""Mike Nussbaum"", ""Jon Gries"", ""Sergio Calderón"", ""Carel Struycken"", ""Fredric Lehne"", ""Richard Hamilton"", ""Kent Faulcon"", ""Siobhan Fallon"", ""John Alexander"", ""Keith Campbell"", ""Sylvester Stallone"", ""Danny DeVito""]","[""Barry Sonnenfeld"", ""Steven Spielberg"", ""Laurie MacDonald"", ""Walter F. Parkes""]","[""secret identity"", ""sun glasses"", ""undercover"", ""space marine"", ""illegal immigration"", ""deportation"", ""new identity"", ""giant cockroach"", ""cannon"", ""flying saucer"", ""stay permit"", ""alien"", ""fictional government agency""]"
"[""Drama"", ""Science Fiction"", ""Mystery""]",686,tt0118884,Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",/bCpMIywuNZeWt3i5UMLEIc0VSwM.jpg,7/11/1997,171120329,150,"[""English""]","If it's just us, it seems like an awful waste of space.",Contact,7.2,1338,/lpqLdupRPthO9lOLxRICQ3h6F3s.jpg,"[""Jodie Foster"", ""Matthew McConaughey"", ""James Woods"", ""John Hurt"", ""Tom Skerritt"", ""William Fichtner"", ""David Morse"", ""Angela Bassett"", ""Geoffrey Blake"", ""Max Martini"", ""Rob Lowe"", ""Jake Busey"", ""Jena Malone"", ""Tucker Smallwood"", ""Sami Chester"", ""Henry Strozier"", ""Haynes Brooke"", ""Timothy McNeil"", ""Laura Elena Surillo"", ""Michael Chaban"", ""Larry King"", ""Thomas Garner"", ""Conroy Chino"", ""Dan Gifford"", ""Vance Valencia"", ""Donna Kelley"", ""Leon Harris"", ""Claire Shipman"", ""Behrooz Afrakhan"", ""Saemi Nakamura"", ""Maria Celeste Arraras"", ""Tabitha Soren"", ""Geraldo Rivera"", ""Ian Whitcomb"", ""Jay Leno"", ""Michael Albala"", ""Ned Netterville"", ""Leo Lee"", ""William Jordan"", ""David St. James"", ""Steven Ford"", ""Alexander Zemeckis"", ""Janie Peterson"", ""Philippe Bergeron"", ""Jennifer Balgobin"", ""Anthony Hamilton"", ""Rebecca T. Beucler"", ""Marc Macaulay"", ""Jeffery Thomas Johnson"", ""Jeffery Thomas Johnson"", ""Yuji Okumoto"", ""Gerry Griffin"", ""Brian Alston"", ""Rob Elk"", ""Mark Thomason"", ""José Rey"", ""Todd Patrick Breaugh"", ""Alex Veadov"", ""Alice Kushida"", ""Robin Gammell"", ""Richardson Morse"", ""Seiji Okamura"", ""Mak Takano"", ""Hiroshi Tom Tanaka"", ""Catherine Dao"", ""Kristoffer Ryan Winters"", ""Valorie Armstrong"", ""Jim Hild"", ""William L. Thomas"", ""Diego Montoya"", ""Jonathan Adler"", ""Robert Aguilar Jr."", ""Mark Bailey"", ""Matt Bennett"", ""Tony Boldi"", ""Christopher Boyer"", ""Mark Byrne"", ""Candice T. Cain"", ""Aixa Clemente"", ""Aixa Clemente"", ""Derrick Damions"", ""Elaina Erika Davis"", ""Joey Dente"", ""Michael Egan"", ""Jeff Elmore"", ""Pamela Fischer"", ""Carl Gilliard"", ""William B. Kaplan"", ""Ming Lo"", ""Sunshine Logroño"", ""Denise Loveday"", ""Neal Matarazzo"", ""Cassidy McMillan"", ""Molly Mueller"", ""Paul L. Nolan"", ""Marisa Petroro"", ""Errica Poindexter"", ""J.A. Preston"", ""Frank Principe"", ""Leo Rogstad"", ""Russell Sanderlin Sr."", ""Frank Silva"", ""John A. Taylor"", ""Todd Thompson"", ""Cenk Uygur"", ""Holly Cross Vagley"", ""Eric Alan Wendell"", ""Delaney Williams""]","[""Robert Zemeckis"", ""Steve Starkey"", ""Robert Zemeckis"", ""Joan Bradshaw"", ""Lynda Obst""]","[""based on novel"", ""nasa"", ""new mexico"", ""extraterrestrial technology"", ""prime number"", ""star"", ""radio wave"", ""wormhole"", ""fanatic"", ""spirituality"", ""religion"", ""scientist"", ""sabotage"", ""ham radio"", ""alien contact"", ""mechanical engineering"", ""observatory"", ""eccentric man"", ""radio telescope""]"
"[""Action"", ""Drama""]",4421,tt0119173,G.I. Jane,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,/6yBgZJYqaR4XkxwjsB9tS4GK1ZN.jpg,8/22/1997,48169156,125,"[""English""]",Failure is not an option.,G.I. Jane,6,404,/tXh154ooFsYV8Ve4XbNIe8wS6DY.jpg,"[""Demi Moore"", ""Viggo Mortensen"", ""Anne Bancroft"", ""Jason Beghe"", ""Daniel von Bargen"", ""John Michael Higgins"", ""Kevin Gage"", ""David Warshofsky"", ""David Vadim"", ""Моррис Честнат"", ""Josh Hopkins"", ""Jim Caviezel"", ""Boyd Kestner"", ""Angel David""]","[""Ridley Scott"", ""Ridley Scott"", ""Demi Moore"", ""Suzanne Todd"", ""Roger Birnbaum""]","[""poem"", ""middle east"", ""helicopter"", ""satellite"", ""navy"", ""sexism"", ""war"", ""army"", ""sexual harassment"", ""navy seal"", ""feminist"", ""soldier"", ""commando"", ""mental health"", ""drill instructor"", ""military"", ""u.s. military"", ""army base"", ""reconnaissance"", ""sexual discrimination""]"
"[""Adventure"", ""Fantasy"", ""Action""]",9387,tt0082198,Conan the Barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",/qw2A587Ee61IwcSOLNFRhuOACZZ.jpg,4/2/1982,79114085,129,"[""English""]",Thief. Warrior. Gladiator. King.,Conan the Barbarian,6.6,663,/fNp2ikvY8WZTyVbK1iXW84RLbO5.jpg,"[""Arnold Schwarzenegger"", ""James Earl Jones"", ""Max von Sydow"", ""Sandahl Bergman"", ""Cassandra Gava"", ""Ben Davidson"", ""Gerry Lopez"", ""Mako"", ""Valérie Quennessen"", ""William Smith"", ""Luis Barboo"", ""Franco Columbu"", ""Nadiuska"", ""Jack Taylor"", ""Sven-Ole Thorsen"", ""Pilar Alcón"", ""Jorge Sanz""]","[""John Milius"", ""Dino De Laurentiis"", ""Raffaella De Laurentiis"", ""Buzz Feitshans"", ""Edward R. Pressman"", ""D. Constantine Conte""]","[""gladiator"", ""repayment"", ""despot"", ""barbarian"", ""sword and sorcery""]"
"[""Adventure"", ""Comedy"", ""Family"", ""Romance""]",10603,tt0119190,George of the Jungle,"Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.",/lWp8hUqE4oLPxsYgilXoYoVThfU.jpg,7/15/1997,0,92,"[""English"", ""Español""]",Watch out!,George of the Jungle,5.4,508,/1NKhtSu3BC44oECCMzQfnfFMylo.jpg,"[""Brendan Fraser"", ""Leslie Mann"", ""Thomas Haden Church"", ""John Cleese"", ""Richard Roundtree"", ""Abraham Benrubi"", ""Holland Taylor"", ""John Bennett Perry"", ""Greg Cruttwell"", ""Kelly Miller"", ""Michael Chinyamurindi"", ""Abdoulaye N'Gom"", ""Lydell M. Cheshier"", ""Keith Scott"", ""Spencer Garrett"", ""Jon Pennell"", ""Lauren Bowles"", ""Afton Smith"", ""Samantha Harris"", ""Hans Schoeber"", ""Alexander Denk"", ""Sven-Ole Thorsen"", ""Rodney Louis Johnson"", ""Peter F. Giddings"", ""Terilyn Joe"", ""Michel Camus"", ""Valerie Perri"", ""Carrie Zanoline"", ""Garrett Griffin"", ""Harve Cook"", ""Richard Elfman"", ""Denise Holland"", ""Anne Fletcher"", ""Kristie Capozzoli"", ""Sal Vassalo"", ""Melanie Gage"", ""Aurorah Allain"", ""Diane Mizota"", ""Lisa Ratzin"", ""Joie Shettler"", ""Sharon Ferrol-Young"", ""Tara Nicole Hughes"", ""Robin Tasha-Ford"", ""Margo Blas"", ""Jake Gentry"", ""Tim Glenn"", ""Jewel McDonald"", ""Bob Quinn"", ""Mary Ann Schmidt""]","[""Jon Avnet"", ""David Hoberman"", ""Sam Weisman"", ""Jordan Kerner""]","[""africa"", ""san francisco"", ""gorilla"", ""lion"", ""feral child"", ""jungle""]"
"[""Action"", ""Crime"", ""Drama""]",2142,tt0118887,Cop Land,"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",/qzR7m6kUhsbdid3xRK2jTXjyNmG.jpg,8/15/1997,44862187,104,"[""English""]",No One Is Above The Law.,Cop Land,6.6,384,/cnD5ygO97xFY8wQPwLP5v9saus7.jpg,"[""Sylvester Stallone"", ""Harvey Keitel"", ""Ray Liotta"", ""Robert De Niro"", ""Michael Rapaport"", ""Annabella Sciorra"", ""Peter Berg"", ""Robert Patrick"", ""Arthur J. Nascarella"", ""John Spencer"", ""Janeane Garofalo"", ""Noah Emmerich"", ""Cathy Moriarty"", ""Frank Vincent"", ""Malik Yoba"", ""Edie Falco"", ""Paul Calderon"", ""Deborah Harry"", ""Tony Sirico"", ""Method Man"", ""John Doman"", ""Philip Ettington""]","[""James Mangold"", ""Cathy Konrad"", ""Ezra Swerdlow"", ""Cary Woods"", ""Bob Weinstein"", ""Harvey Weinstein""]","[""corruption"", ""new jersey"", ""handcuffs"", ""fbi"", ""bridge"", ""police"", ""burned alive"", ""murder"", ""car crash"", ""independent film"", ""bad cop"", ""arson"", ""dirty cop"", ""internal affairs"", ""car accident"", ""new york city"", ""violence"", ""nypd"", ""world trade center"", ""jumping off a bridge"", ""corrupt cop""]"
"[""Action"", ""Adventure"", ""Fantasy"", ""Horror"", ""Science Fiction"", ""Thriller""]",10336,tt0120177,Spawn,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",/3svvunKXkhRvEKByGDua1Qu0otq.jpg,7/31/1997,87840042,96,"[""English""]",Born in darkness. Sworn to justice.,Spawn,5,344,/41oen4uX7sy0aKSc5P1leJqvutE.jpg,"[""Michael Jai White"", ""Martin Sheen"", ""John Leguizamo"", ""Theresa Randle"", ""Nicol Williamson"", ""D. B. Sweeney"", ""Melinda Clarke"", ""Miko Hughes"", ""Sydni Beaudoin"", ""Frank Welker""]","[""Clint Goldman"", ""Todd McFarlane"", ""Mark A.Z. Dippé""]","[""anti hero"", ""secret agent"", ""fistfight"", ""based on comic"", ""burn victim""]"
"[""Action"", ""Drama"", ""Mystery"", ""Thriller""]",8834,tt0118883,Conspiracy Theory,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",/wj0n6gci4EMWRhV9ozCKTgESGdB.jpg,8/7/1997,136982834,135,"[""English""]",What if your most paranoid nightmares had just come true?,Conspiracy Theory,6.5,440,/c0G6f2GFlDFujX976oiak8VsR2I.jpg,"[""Mel Gibson"", ""Julia Roberts"", ""Patrick Stewart"", ""Cylk Cozart"", ""Steve Kahan"", ""Terry Alexander"", ""Alex McArthur"", ""Rod McLachlan"", ""Michael Potts"", ""Jim Sterling"", ""Rich Hebert"", ""Brian J. Williams"", ""G.A. Aguilar"", ""Cece Neber Labao"", ""Saxon Trainor"", ""Sage Allen"", ""Joanna Sanchez""]","[""Richard Donner"", ""Richard Donner"", ""Joel Silver"", ""Jim Van Wyck""]","[""new york"", ""cia"", ""helicopter"", ""assassin"", ""secret"", ""obsession"", ""taxi driver"", ""fbi"", ""paranoia"", ""wheelchair"", ""chase"", ""theory"", ""politics"", ""government"", ""control"", ""cover-up"", ""murder"", ""suspense"", ""conspiracy"", ""torture"", ""flashback"", ""target"", ""geronimo"", ""newsletter""]"
"[""Fantasy"", ""Horror"", ""Thriller""]",4961,tt0119675,Mimic,"A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form.",/ieRRo78f8JzEKxfiCKqJyFg6l8o.jpg,8/22/1997,25480490,105,"[""English"", ""Italiano""]","For thousands of years, man has been evolution's greatest creation... until now.",Mimic,5.7,255,/bouH0jYhfiAHn28B3AygP0XO6V8.jpg,"[""Mira Sorvino"", ""Jeremy Northam"", ""Giancarlo Giannini"", ""Josh Brolin"", ""Alexander Goodwin"", ""Charles S. Dutton"", ""F. Murray Abraham"", ""Alix Koromzay"", ""James Costa"", ""Javon Barnwell"", ""Norman Reedus"", ""Ho Pak-Kwong"", ""Glenn Bang"", ""Julian Richings"", ""James Kidnie"", ""Doug Jones""]","[""Guillermo del Toro"", ""Ole Bornedal"", ""B.J. Rack"", ""Bob Weinstein""]","[""experiment"", ""mutation"", ""cockroach"", ""nest"", ""blood"", ""disease"", ""scientist"", ""epidemic"", ""evolution"", ""sewer"", ""virus"", ""tunnel"", ""insects"", ""animal horror""]"
"[""Action"", ""Adventure"", ""Thriller""]",1669,tt0099810,The Hunt for Red October,"A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.",/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg,3/2/1990,199200000,134,"[""English"", ""Pусский""]",Invisible. Silent. Stolen.,The Hunt for Red October,7.2,971,/ysYBfA0VcbJic9CURRmR1QwWaKw.jpg,"[""Alec Baldwin"", ""Sean Connery"", ""Scott Glenn"", ""Sam Neill"", ""James Earl Jones"", ""Joss Ackland"", ""Richard Jordan"", ""Stellan Skarsgård"", ""Courtney B. Vance"", ""Peter Firth"", ""Tim Curry"", ""Jeffrey Jones"", ""Timothy Carhart"", ""Larry Ferguson"", ""Fred Dalton Thompson"", ""Daniel Davis"", ""Ned Vaughn"", ""Anthony Peck"", ""Ronald Guttman"", ""Tomas Arana"", ""Sven-Ole Thorsen"", ""Rick Ducommun"", ""Mark Draxton"", ""Tom Fisher"", ""Pete Antico"", ""Anatoli Davydov"", ""Ivan G'Vera"", ""Sven-Ole Thorsen"", ""Boris Lee Krutonog"", ""Kenton Kovell"", ""Gates McFadden"", ""Andrew Divoff"", ""Philip Ettington""]","[""John McTiernan"", ""Mace Neufeld"", ""Larry DeWaay"", ""Jerry Sherlock""]","[""submarine"", ""cold war"", ""russian"", ""defection"", ""jack ryan""]"
"[""Drama"", ""Romance""]",468,tt0102494,My Own Private Idaho,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott Favor (Keanu Reeves) is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",/hiFGxsq7Mzss536Rc1cahaNWCJe.jpg,10/17/1991,0,104,"[""English""]","It's not where you go, it's how you get there.",My Own Private Idaho,7.1,218,/stSaFz5CtMXwIj3r4MDjqxqWRot.jpg,"[""River Phoenix"", ""Keanu Reeves"", ""James Russo"", ""William Richert"", ""Rodney Harvey"", ""Chiara Caselli"", ""Grace Zabriskie"", ""Tom Troupe"", ""Michael Parker"", ""Jessie Thomas"", ""Flea"", ""Udo Kier"", ""Sally Curtice""]","[""Laurie Parker"", ""Gus Van Sant""]","[""individual"", ""gay"", ""father son relationship"", ""rome"", ""robbery"", ""treasure"", ""portland"", ""cocaine"", ""generations confilct"", ""idaho"", ""hustler"", ""german"", ""seattle"", ""narkolepsy"", ""pink bathrobe"", ""prostitution"", ""gay sex"", ""incest"", ""lgbt"", ""road movie""]"
"[""Comedy"", ""Romance""]",10806,tt0119360,In & Out,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,/680sgIbQU9lqujO3m6PqjoXlXuP.jpg,9/10/1997,0,90,"[""English""]",An out-and-out comedy.,In & Out,6.3,181,/u7Y2yLsDJlztyuYvqi9XNtjP4Gb.jpg,"[""Kevin Kline"", ""Joan Cusack"", ""Tom Selleck"", ""Matt Dillon"", ""Debbie Reynolds"", ""Wilford Brimley"", ""Bob Newhart"", ""Gregory Jbara"", ""Shalom Harlow"", ""Shawn Hatosy"", ""Zak Orth"", ""Lauren Ambrose"", ""Deborah Rush"", ""June Squibb"", ""Alice Drummond"", ""Alexandra Holden"", ""Glenn Close"", ""Selma Blair"", ""Whoopi Goldberg""]","[""Scott Rudin"", ""Frank Oz""]","[""gay"", ""homophobia"", ""coming out"", ""lgbt""]"
"[""Action"", ""Adventure"", ""Drama""]",9433,tt0119051,The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",/mwzaD2KmWzGUyVJtcUUilH9EbtL.jpg,9/6/1997,43312294,117,"[""English"", ""Français"", ""Pусский""]","They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",The Edge,6.8,359,/ue9ScDQ60jzMAuZ54tm4mTdLFfq.jpg,"[""Alec Baldwin"", ""Anthony Hopkins"", ""Elle Macpherson"", ""Harold Perrineau"", ""L.Q. Jones"", ""Kathleen Wilhoite"", ""David Lindstedt"", ""Mark Kiely"", ""Eli Gabay"", ""Larry Musser""]","[""Lloyd Phillips"", ""Art Linson"", ""Lee Tamahori""]","[""photographer"", ""grizzly bear"", ""wilderness"", ""airplane"", ""supermodel"", ""emergency landing"", ""suspense"", ""survival"", ""bear"", ""animal horror""]"
